Date,rstar,g,z,output gap,real rate gap,,,All results are output from the Stage 3 model.,,,,,,,,,,,,,,,Standard Errors,Date,y*,r*,g
1986-10-01,3.49960201281121,3.46632190768324,-0.441727926875732,-2.08725780038003,-0.188154913995536,,,,,,,,,,,,,,,,,,,1986-10-01,1.60771148912767,1.06700861503967,0.399600187080569
1987-01-01,3.38287770264912,3.43089731298059,-0.518173226772388,-2.22486681191583,0.327631025845335,,,,,,,,,,,,,,,,,,,1987-01-01,1.60475865221039,1.06674482723338,0.399122508363697
1987-04-01,3.54309656913471,3.42143903914255,-0.34719997023059,-1.63117912086659,0.34830394013676,,,,,,,,,,,,,,,,,,,1987-04-01,1.60095645498551,1.06619824946266,0.398717262869651
1987-07-01,3.51958528753749,3.38869742277709,-0.333482882307688,-1.46641142488238,0.370680656703308,,,,,,,,,,,,,,,,,,,1987-07-01,1.59989196788712,1.0655582281825,0.398336388501112
1987-10-01,3.7790500376335,3.52499475669427,-0.22899299524347,-0.940622467355865,-0.00636679246130534,,,,,,,,,,,,,,,,,,,1987-10-01,1.59827862439607,1.06363345353104,0.398027740466694
1988-01-01,3.63459970964779,3.39789028536398,-0.228921068324994,-0.80564739654244,-0.471698237842739,,,,,,,,,,,,,,,,,,,1988-01-01,1.59594899745021,1.06243907850804,0.397743216055787
1988-04-01,3.8411781622246,3.45955738445725,-0.0924602766068649,-0.322927257721858,-0.384147682701552,,,,,,,,,,,,,,,,,,,1988-04-01,1.59288847925723,1.06050627934257,0.397560760784491
1988-07-01,3.73977787467521,3.36784029421465,-0.0895750063282655,-0.236587154673657,0.366266304173772,,,,,,,,,,,,,,,,,,,1988-07-01,1.58915867477474,1.05891022174276,0.397411221850884
1988-10-01,3.86238798899368,3.46520806837195,-0.077675476216135,-0.114986763347247,0.683346933152901,,,,,,,,,,,,,,,,,,,1988-10-01,1.58881154327856,1.05630428170363,0.397409554107911
1989-01-01,3.87062715209333,3.48182476912282,-0.088330086375987,-0.0562159992523448,1.63323555315964,,,,,,,,,,,,,,,,,,,1989-01-01,1.59145001520903,1.05332390108159,0.397583435005664
1989-04-01,3.76844661827442,3.48311277115237,-0.19197512380899,-0.37462399302467,2.34812016555104,,,,,,,,,,,,,,,,,,,1989-04-01,1.59527722000478,1.05019403007598,0.397977599643249
1989-07-01,3.68143236296327,3.50763324403613,-0.306870019316262,-0.828716714686379,2.11957203308936,,,,,,,,,,,,,,,,,,,1989-07-01,1.60190514926934,1.04689417842931,0.398698369729949
